mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.01171875,-0.096354167,1,0,0,3.2264,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,RCHEEK,0,44.40104167,6.0662,0.005208333,-0.395833333,1,0,0,NextBu,0.62701353,0,0,0,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,11.1017,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,FOREHEAD,0,44.66145833,1.6311,-0.006510417,-0.390625,1,0,0,NextBu,0.590607378,1,0,1,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,13.8379,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,FOREHEAD,0,44.27083333,1.9893,-0.005208333,-0.39453125,1,0,0,NextBu,0.723571128,2,0,2,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,17.2205,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,NASALTIP,0,32.421875,5.098,0.010416667,-0.401041667,1,0,0,NextBu,0.682262302,3,0,3,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,23.5468,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,NASALTIP,0,30.20833333,2.3976,0.009114583,-0.415364583,1,0,0,NextBu,0.562410783,4,0,4,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,27.0101,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,FOREHEAD,0,50.26041667,5.3175,0.0234375,-0.397135417,1,0,0,NextBu,0.754352316,5,0,5,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,33.602,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,FOREHEAD,0,55.46875,2.288,-0.010416667,-0.404947917,1,0,0,NextBu,0.575644358,6,0,6,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,37.0477,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,LCHEEK,0,48.046875,1.7521,-0.005208333,-0.388020833,1,0,0,NextBu,0.99893578,7,0,7,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,40.5183,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,RCHEEK,0,47.13541667,1.6585,-0.01171875,-0.407552083,1,0,0,NextBu,0.708060843,8,0,8,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
,,,,,43.3499,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,FOREHEAD,0,48.17708333,4.068,-0.018229167,-0.385416667,1,0,0,NextBu,0.67394315,9,0,9,0,1,5cfa555a926c930016b925d1,male,39,white,2022-07-28_18h23.45.732,FaceAttractiveness,2022.2.2,Win32,59.79073244,,,,,,,,
