mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.05987055,-0.200107875,1,0,0,5.0285,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,RCHEEK,0,24.59546926,4.5262,-0.040453074,-0.402912621,1,0,0,NextBu,0.911838265,0,0,0,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,11.3234,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,NASALTIP,0,5.445544554,4.4121,-0.012729844,-0.386845827,1,0,0,NextBu,0.575209805,1,0,1,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,17.5192,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,LCHEEK,0,33.73408769,3.2494,-0.002828854,-0.400990099,1,0,0,NextBu,0.805409533,2,0,2,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,22.0482,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,RCHEEK,0,13.64922207,1.681,0.04950495,-0.403818953,1,0,0,NextBu,0.78345049,3,0,3,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,24.9864,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,RCHEEK,0,11.52758133,1.7989,0.015558699,-0.381188119,1,0,0,NextBu,0.849802956,4,0,4,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,28.215,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LCHEEK,0,35.572843,1.7535,-0.014144272,-0.396746818,1,0,0,NextBu,0.565484763,5,0,5,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,31.4819,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,RCHEEK,0,32.46110325,1.6529,0.042432815,-0.382602546,1,0,0,NextBu,0.971334779,6,0,6,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,34.6527,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,LIP,0,36.42149929,1.877,0.016973126,-0.376944837,1,0,0,NextBu,0.859930778,7,0,7,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,37.7691,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,LCHEEK,0,20.2970297,1.5995,-0.012729844,-0.376944837,1,0,0,NextBu,0.729659273,8,0,8,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
,,,,,40.6818,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,LCHEEK,0,18.31683168,1.8484,0.016973126,-0.391089109,1,0,0,NextBu,0.874611881,9,0,9,0,1,5e81fd2e6f674202efe1ccb9,female,35,Italian,2022-07-29_14h38.44.978,FaceAttractiveness,2022.2.2,Win32,60.06366749,,,,,,,,
