mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.051851852,0.003703704,1,0,0,11.357,Extremely  Attractive,Extremely Unattractive,normal,006_M_F_N_A.png,LCHEEK,0,58.35978836,9.111,0.024338624,-0.441798942,1,0,0,NextBu,0.723074336,0,0,0,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,21.98,Extremely  Attractive,Extremely Unattractive,normal,035_M_F_N_A.png,LCHEEK,0,80.58201058,3.548,0.04021164,-0.396296296,1,0,0,NextBu,0.654602864,1,0,1,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,27.751,Extremely  Attractive,Extremely Unattractive,normal,087_M_M_N_A.png,LCHEEK,0,67.35449735,5.017,0.045502646,-0.374074074,1,0,0,NextBu,0.575703234,2,0,2,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,34.138,Extremely  Attractive,Extremely Unattractive,normal,136_M_M_N_A.png,NASALTIP,0,94.76190476,1.993,0.041269841,-0.400529101,1,0,0,NextBu,0.750273168,3,0,3,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,37.49,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_231_357_N.png,RCHEEK,0,72.11640212,4.025,-0.002116402,-0.38042328,1,0,0,NextBu,0.92670795,4,0,4,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,42.945,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_237_223_N.png,NASALTIP,0,58.67724868,6.727,0.038095238,-0.399470899,1,0,0,NextBu,0.685685964,5,0,5,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,50.799,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_245_143_N.png,FOREHEAD,0,77.40740741,3.315,0.026455026,-0.418518519,1,0,0,NextBu,0.979999158,6,0,6,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,62.223,Extremely  Attractive,Extremely Unattractive,normal,CFD_AM_233_236_N.png,LCHEEK,0,92.96296296,3.779,0.04021164,-0.361375661,1,0,0,NextBu,0.970637876,7,0,7,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,67.425,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_214_308_N.png,NASALTIP,0,72.53968254,5.683,-0.022222222,-0.402645503,1,0,0,NextBu,0.648961632,8,0,8,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
,,,,,74.516,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_224_002_N.png,NASALTIP,0,95.92592593,2.761,0.052910053,-0.408994709,1,0,0,NextBu,0.794905533,9,0,9,0,1,610a9a0723dac03a63f15035,Female,39,White,2022-07-28_20h25.57.769,FaceAttractiveness,2022.2.2,MacIntel,57.40528129,,,,,,,,
