mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.1484375,-0.028645833,1,0,0,3.081,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,LCHEEK,0,57.68229167,6.0377,0.03125,-0.41015625,1,0,0,NextBu,0.806421718,0,0,0,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,12.0486,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,LIP,0,24.86979167,5.0173,0.005208333,-0.408854167,1,0,0,NextBu,0.828534241,1,0,1,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,19.051,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,NASALTIP,0,74.34895833,3.0992,0.010416667,-0.37890625,1,0,0,NextBu,0.640753,2,0,2,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,23.94,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LCHEEK,0,60.41666667,6.3715,0.041666667,-0.411458333,1,0,0,NextBu,0.997642524,3,0,3,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,33.1513,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,FOREHEAD,0,58.59375,4.2073,0.069010417,-0.38671875,1,0,0,NextBu,0.932390119,4,0,4,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,39.1018,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LIP,0,74.86979167,3.3336,0.016927083,-0.397135417,1,0,0,NextBu,0.71820535,5,0,5,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,44.1613,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,LIP,0,75.390625,2.2125,0.044270833,-0.375,1,0,0,NextBu,0.859164835,6,0,6,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,48.2037,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,FOREHEAD,0,67.44791667,4.2391,0.036458333,-0.389322917,1,0,0,NextBu,0.870747173,7,0,7,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,54.1801,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,FOREHEAD,0,58.203125,2.8566,0.005208333,-0.395833333,1,0,0,NextBu,0.883021105,8,0,8,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
,,,,,58.8733,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,RCHEEK,0,62.36979167,2.7859,0.045572917,-0.376302083,1,0,0,NextBu,0.779509125,9,0,9,0,1,614dc631d748ca720a4b4cce,female,36,african,2022-07-29_14h45.45.412,FaceAttractiveness,2022.2.2,Win32,59.85873339,,,,,,,,
