mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.091210938,-0.227264178,1,0,0,2.6431,Extremely  Attractive,Extremely Unattractive,normal,CFD_WM_212_097_N.png,FOREHEAD,0,63.05157697,1.4207,0.012550637,-0.376124855,1,0,0,NextBu,0.682561846,0,0,0,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,5.5408,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_250_167_N.png,FOREHEAD,0,43.37818287,0.8102,-0.026208044,-0.351244213,1,0,0,NextBu,0.612001437,1,0,1,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,7.2569,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_200_099_N.png,FOREHEAD,0,48.54600694,0.6746,-0.02573423,-0.353508391,1,0,0,NextBu,0.567672925,2,0,2,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,8.7734,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_002_004_N.png,FOREHEAD,0,49.24768519,0.8983,-0.02239945,-0.369097222,1,0,0,NextBu,0.921924339,3,0,3,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,10.9896,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_203_026_N.png,LCHEEK,0,51.60373264,0.8733,-0.013751447,-0.379394531,1,0,0,NextBu,0.798758947,4,0,4,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,12.9894,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_201_057_N.png,LIP,0,58.90154803,0.8415,0.024974682,-0.386013455,1,0,0,NextBu,0.94334022,5,0,5,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,15.1064,Extremely  Attractive,Extremely Unattractive,normal,CFD_LF_224_176_N.png,LCHEEK,0,62.07103588,0.7105,0.039131221,-0.389503762,1,0,0,NextBu,0.601232784,6,0,6,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,16.6895,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_234_172_N.png,LIP,0,45.76244213,0.8617,-0.002217159,-0.391055411,1,0,0,NextBu,0.600988083,7,0,7,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,18.423,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_213_134_N.png,NASALTIP,0,57.06163194,0.6903,0.024041522,-0.403804977,1,0,0,NextBu,0.971885678,8,0,8,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,20.34,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_224_002_N.png,NASALTIP,0,62.31843171,0.6114,0.039648438,-0.398473669,1,0,0,NextBu,0.524916578,9,0,9,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,21.7229,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_214_308_N.png,RCHEEK,0,58.80750868,0.7742,0.03811849,-0.393825955,1,0,0,NextBu,0.669211606,10,0,10,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,23.4058,Extremely  Attractive,Extremely Unattractive,normal,CFD_AM_233_236_N.png,LIP,0,46.68764468,0.6089,0.013295718,-0.415928819,1,0,0,NextBu,0.786035465,11,0,11,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,25.0223,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_245_143_N.png,NASALTIP,0,60.3551794,0.6758,0.046430122,-0.380779803,1,0,0,NextBu,0.91964281,12,0,12,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,26.8394,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_237_223_N.png,NASALTIP,0,43.20276331,0.7985,-0.034103733,-0.373278356,1,0,0,NextBu,0.851021467,13,0,13,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,28.7237,Extremely  Attractive,Extremely Unattractive,normal,CFD_AF_231_357_N.png,LIP,0,53.10329861,0.7067,0.023817274,-0.353826678,1,0,0,NextBu,0.573976949,14,0,14,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,30.2904,Extremely  Attractive,Extremely Unattractive,normal,136_M_M_N_A.png,FOREHEAD,0,54.66688368,0.7919,0.00583044,-0.412731481,1,0,0,NextBu,0.983004831,15,0,15,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,32.34,Extremely  Attractive,Extremely Unattractive,normal,087_M_M_N_A.png,FOREHEAD,0,56.67136863,1.4244,0.027900752,-0.368572772,1,0,0,NextBu,0.747430484,16,0,16,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,34.7897,Extremely  Attractive,Extremely Unattractive,normal,035_M_F_N_A.png,FOREHEAD,0,47.41898148,0.9893,7.59549E-05,-0.369209346,1,0,0,NextBu,0.802924161,17,0,17,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,36.8729,Extremely  Attractive,Extremely Unattractive,normal,006_M_F_N_A.png,NASALTIP,0,45.18952546,0.8754,-0.014033565,-0.386964699,1,0,0,NextBu,0.835123796,18,0,18,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,38.8732,Extremely  Attractive,Extremely Unattractive,normal,CFD_WM_212_097_N.png,LIP,1,59.072989,0.8101,0.03021195,-0.3890625,1,0,0,NextBu,0.636251238,19,0,19,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,40.5734,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_250_167_N.png,NASALTIP,1,41.33572049,0.891,-0.027253328,-0.383557581,1,0,0,NextBu,0.927817953,20,0,20,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,42.623,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_200_099_N.png,NASALTIP,1,56.40878183,0.8074,0.025462963,-0.396169705,1,0,0,NextBu,0.939495653,21,0,21,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
,,,,,44.5895,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_002_004_N.png,NASALTIP,1,39.2578125,0.7314,-0.035677083,-0.400737847,1,0,0,NextBu,0.810314694,22,0,22,0,1,60c6b3ea487c6f366b92e5e3,,,2022-07-28_09h05.13.677,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,62dfe6a3e28b448cf3e9d0db,05ve24g3gbgc,,,,,,,,
