mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
-0.032447193,-0.129676649,1,0,0,0.9992,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,NASALTIP,0,53.73372396,1.3552,-0.007989728,-0.364471209,1,0,0,NextBu,0.908307003,0,0,0,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,3.7646,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,LCHEEK,0,49.07588252,0.9223,-0.016131366,-0.381456163,1,0,0,NextBu,0.866473708,1,0,1,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,5.8808,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,RCHEEK,0,56.73574942,0.877,0.008199508,-0.352564381,1,0,0,NextBu,0.511870648,2,0,2,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,7.4973,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LCHEEK,0,45.99898727,0.7973,-0.047764757,-0.373281973,1,0,0,NextBu,0.689711503,3,0,3,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,9.2155,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,RCHEEK,0,59.07226563,0.6587,0.021079282,-0.374442998,1,0,0,NextBu,0.578387696,4,0,4,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,10.6823,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LCHEEK,0,48.48596644,0.6562,0.016514757,-0.394245515,1,0,0,NextBu,0.754131424,5,0,5,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,12.3309,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,LCHEEK,0,66.92165799,0.5077,0.060206887,-0.362641059,1,0,0,NextBu,0.630691344,6,0,6,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,13.7658,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,LCHEEK,0,36.52307581,0.6392,-0.016865596,-0.398614728,1,0,0,NextBu,0.503045902,7,0,7,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,15.1317,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,RCHEEK,0,68.75072338,0.682,0.012094907,-0.372113715,1,0,0,NextBu,0.576044941,8,0,8,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,16.5972,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,LCHEEK,0,44.28855613,0.5729,-0.023506221,-0.38338397,1,0,0,NextBu,0.932041107,9,0,9,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,18.3321,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_214_308_N.png,FOREHEAD,0,66.28942419,0.7287,0.010633681,-0.399641927,1,0,0,NextBu,0.958910827,10,0,10,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,20.2135,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AM_233_236_N.png,LCHEEK,0,46.25578704,0.7345,0.011910446,-0.405172164,1,0,0,NextBu,0.861282203,11,0,11,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,22.0813,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_245_143_N.png,LIP,0,67.0808015,0.7272,0.036212384,-0.401728877,1,0,0,NextBu,0.862426455,12,0,12,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,23.9317,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_237_223_N.png,LCHEEK,0,69.43323206,0.7231,0.020996094,-0.417122396,1,0,0,NextBu,0.797879136,13,0,13,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,25.6974,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_231_357_N.png,LCHEEK,0,66.13859954,0.5552,0.030240885,-0.379358362,1,0,0,NextBu,0.547345711,14,0,14,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,27.0648,Extremely Unattractive,Extremely  Attractive,mirrored,136_M_M_N_A.png,FOREHEAD,0,59.41225405,0.8147,0.025759549,-0.427958623,1,0,0,NextBu,0.784149353,15,0,15,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,28.8807,Extremely Unattractive,Extremely  Attractive,mirrored,087_M_M_N_A.png,RCHEEK,0,62.52531829,0.658,0.035593895,-0.397316262,1,0,0,NextBu,0.841889569,16,0,16,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,30.5657,Extremely Unattractive,Extremely  Attractive,mirrored,035_M_F_N_A.png,LIP,0,46.18164063,0.6051,-0.008311632,-0.369809751,1,0,0,NextBu,0.839529847,17,0,17,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,32.1983,Extremely Unattractive,Extremely  Attractive,mirrored,006_M_F_N_A.png,NASALTIP,0,58.43135127,0.8248,0.017151331,-0.398546007,1,0,0,NextBu,0.743794411,18,0,18,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,34.1144,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,LCHEEK,1,58.08051215,0.6286,0.034237558,-0.370905671,1,0,0,NextBu,0.545365618,19,0,19,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,35.5656,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,NASALTIP,1,39.3464265,0.6473,-0.038751447,-0.361270255,1,0,0,NextBu,0.754585321,20,0,20,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,37.1812,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,LIP,1,61.22685185,0.7069,0.041796875,-0.387962963,1,0,0,NextBu,0.94541904,21,0,21,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,39.032,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,FOREHEAD,1,58.53768808,0.8086,0.049077691,-0.404072627,1,0,0,NextBu,0.995700038,22,0,22,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,41.1977,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,LCHEEK,1,64.03935185,0.8225,0.092277922,-0.37937283,1,0,0,NextBu,0.548840642,23,0,23,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
,,,,,43.2311,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,NASALTIP,1,46.82002315,0.8077,-0.017031973,-0.384982639,1,0,0,NextBu,0.886232622,24,0,24,0,1,,,,2022-07-28_09h13.25.873,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0e26qhk55m18,,,,,,,,
