Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,mouse_7.started,Confirm.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WM_212_097_N.png,0,0,0,0,0,0,0,37,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_203_026_N.png,0,0,0,0,0,1,1,52,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WM_212_097_N.png,0,0,0,0,0,2,2,18,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_224_002_N.png,0,0,0,0,0,3,3,9,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LF_224_176_N.png,0,0,0,0,0,4,4,12,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LM_201_057_N.png,0,0,0,0,0,5,5,70,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WM_212_097_N.png,0,0,0,0,0,6,6,94,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_WF_002_004_N.png
",0,0,0,0,0,7,7,91,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_224_002_N.png,0,0,0,0,0,8,8,47,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BM_213_134_N.png,0,0,0,0,0,9,9,86,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,10,10,32,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_214_308_N.png,0,0,0,0,0,11,11,8,,,,,,,,,,,,2023-04-07_19h50.45.988,FaceAttractiveness,2022.2.5,144.85091218899765,
