faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\ RCHEEK_CFD_AF_231_357_N.png,0,0,0,8,0,0,0,80,0.6397790446143039,8.570732399995904,9.211635200015735,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
"images\ NASALTIP_136_M_M_N_A.png
",0,0,0,8,0,1,1,60,0.6664406450781895,9.211635200015735,9.877821000001859,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\FOREHEAD_035_M_F_N_A.png,0,0,0,8,0,2,2,1,0.5243198872183911,9.877821000001859,10.405477599997539,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ RCHEEK_CFD_WM_212_097_N.png,0,0,0,8,0,3,3,94,0.7147161001629134,10.405477599997539,11.12028749997262,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ NASALTIP_CFD_AF_237_223_N.png,0,0,0,8,0,4,4,62,0.5338449625958042,11.12028749997262,11.65504719997989,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
"images\ RCHEEK_136_M_M_N_A.png
",0,0,0,8,0,5,5,79,0.9768362944499208,11.65504719997989,12.634313800022937,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
"images\ LCHEEK_CFD_WF_002_004_N.png
",0,0,0,8,0,6,6,34,0.5628040072731014,12.634313800022937,13.198120700020809,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ RCHEEK_CFD_BF_214_308_N.png,0,0,0,8,0,7,7,84,0.9666542602460406,13.198120700020809,14.169427199987695,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ LIP_CFD_BM_213_134_N.png,0,0,0,8,0,8,8,48,0.951678146650078,14.169427199987695,15.12060660001589,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ NASALTIP_CFD_BF_224_002_N.png,0,0,0,8,0,9,9,66,0.9802493499092688,15.12060660001589,16.09966439998243,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
images\ RCHEEK_CFD_BM_213_134_N.png,0,0,0,8,0,10,10,86,0.8953699886389035,16.09966439998243,16.995792099973187,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
"images\ NASALTIP_CFD_BM_234_172_N.png
",0,0,0,8,0,11,11,68,0.6975847768421278,16.995792099973187,17.697808100027032,,,,,2023-04-07_19h59.28.281,FaceAttractiveness,2022.2.5,144.11942312884284,
