faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,EndText.started,mouse_8.started,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.667641699999876,0.5010255999986839,[-0.011111111111111112],[0.027777777777777776],[1],[0],[0],[1.181680800000322],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
,,,,,,,,,,,,,,,,,,,9.393214100000478,9.393214100000478,9.393214100000478,9.393214100000478,9.393214100000478,0.0018219000012322795,None,None,None,None,[0.6972222222222222],[-0.41759259259259257],[1],[0],[0],[0.9984107999989646],['image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.368706600000223,0.5033760999995138,0.053703703703703705,0.049074074074074076,1,0,0,instrBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_LM_203_026_N.png,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_WF_002_004_N.png,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_035_M_F_N_A.png,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_WM_212_097_N.png,,0,3,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_136_M_M_N_A.png,,0,4,4,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_LF_224_176_N.png,,0,5,5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_WF_002_004_N.png,,0,6,6,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
