mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.03515625,-0.010416667,1,0,0,1.3842,Extremely  Attractive,Extremely Unattractive,normal,CFD_WM_212_097_N.png,FOREHEAD,0,50.52083333,17.2475,0.049479167,-0.368489583,1,0,0,NextBu,0.69317451,0,0,0,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,20.613,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_250_167_N.png,FOREHEAD,0,75,4.1352,-0.006510417,-0.41015625,1,0,0,NextBu,0.868068207,1,0,1,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,26.4613,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_200_099_N.png,LCHEEK,0,49.86979167,3.9641,0.00390625,-0.38671875,1,0,0,NextBu,0.759023866,2,0,2,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,31.7782,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_002_004_N.png,LCHEEK,0,74.34895833,1.9461,0.07421875,-0.373697917,1,0,0,NextBu,0.933468514,3,0,3,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,35.3235,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_203_026_N.png,RCHEEK,0,74.86979167,5.2485,0.04296875,-0.37109375,1,0,0,NextBu,0.888826944,4,0,4,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,42.1155,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_201_057_N.png,FOREHEAD,0,24.86979167,1.8807,-0.01953125,-0.385416667,1,0,0,NextBu,0.791159723,5,0,5,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,45.5276,Extremely  Attractive,Extremely Unattractive,normal,CFD_LF_224_176_N.png,RCHEEK,0,24.73958333,1.6523,-0.048177083,-0.37890625,1,0,0,NextBu,0.733188638,6,0,6,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,48.5591,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_234_172_N.png,LIP,0,51.30208333,1.5135,0.00390625,-0.375,1,0,0,NextBu,0.661151391,7,0,7,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,51.3422,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_213_134_N.png,NASALTIP,0,25.91145833,3.31,-0.020833333,-0.391927083,1,0,0,NextBu,0.760092952,8,0,8,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
,,,,,56.1456,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_224_002_N.png,FOREHEAD,0,49.47916667,2.5734,-0.009114583,-0.41015625,1,0,0,NextBu,0.593301235,9,0,9,0,1,a,f,41,indian,2022-07-29_14h02.07.534,FaceAttractiveness,2022.2.2,Win32,60.33546519,,,,,,,,
