mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.008680556,-0.265241609,1,0,0,3.0223,Extremely  Attractive,Extremely Unattractive,normal,CFD_WM_212_097_N.png,LIP,0,45.27271412,4.6885,-0.003313079,-0.381568287,1,0,0,NextBu,0.874143595,0,0,0,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,9.1862,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_250_167_N.png,NASALTIP,0,74.7620081,6.7469,0.008915654,-0.395619936,1,0,0,NextBu,0.851924906,1,0,1,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,17.2036,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_200_099_N.png,NASALTIP,0,51.80555556,6.8395,0.001132089,-0.373292824,1,0,0,NextBu,0.628591018,2,0,2,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,24.9701,Extremely  Attractive,Extremely Unattractive,normal,CFD_WF_002_004_N.png,LCHEEK,0,63.43496817,1.8114,0.044686777,-0.381123409,1,0,0,NextBu,0.875222278,3,0,3,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,27.9866,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_203_026_N.png,LCHEEK,0,67.54846644,1.6897,0.03765191,-0.381799769,1,0,0,NextBu,0.871244445,4,0,4,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,30.938,Extremely  Attractive,Extremely Unattractive,normal,CFD_LM_201_057_N.png,NASALTIP,0,48.9203559,2.9448,0.051298466,-0.373441117,1,0,0,NextBu,0.746565342,5,0,5,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,34.97,Extremely  Attractive,Extremely Unattractive,normal,CFD_LF_224_176_N.png,LIP,0,51.46375868,1.3423,0.00885055,-0.363169126,1,0,0,NextBu,0.819222175,6,0,6,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,37.404,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_234_172_N.png,LIP,0,66.59215856,1.3112,0.09208261,-0.372265625,1,0,0,NextBu,0.674899669,7,0,7,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,39.637,Extremely  Attractive,Extremely Unattractive,normal,CFD_BM_213_134_N.png,FOREHEAD,0,77.95572917,2.1418,0.040668403,-0.388979311,1,0,0,NextBu,0.803808295,8,0,8,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
,,,,,42.8708,Extremely  Attractive,Extremely Unattractive,normal,CFD_BF_224_002_N.png,LCHEEK,0,74.72728588,2.9258,0.039970341,-0.392925347,1,0,0,NextBu,0.858426658,9,0,9,0,1,ah,Female,31,Asian,2022-08-09_10h50.12.534,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,,,,,,,,
