mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.205555556,-0.299074074,1,0,0,0.6909,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,RCHEEK,0,25.18518519,2.7824,0.005555556,-0.405555556,1,0,0,NextBu,0.743461336,0,0,0,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,5.0397,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,RCHEEK,0,1.388888889,2.0275,0.034259259,-0.402777778,1,0,0,NextBu,0.718114778,1,0,1,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,8.4292,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,RCHEEK,0,24.25925926,2.1235,-0.00462963,-0.402777778,1,0,0,NextBu,0.654107593,2,0,2,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,11.7387,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LIP,0,1.574074074,1.109,0.010185185,-0.387962963,1,0,0,NextBu,0.891180927,3,0,3,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,14.1941,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,RCHEEK,0,24.44444444,1.2463,0.017592593,-0.381481481,1,0,0,NextBu,0.902980941,4,0,4,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,16.7584,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LIP,0,41.11111111,1.1091,0.00462963,-0.403703704,1,0,0,NextBu,0.91961192,5,0,5,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,19.3088,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,LIP,0,47.40740741,1.3233,-0.000925926,-0.425925926,1,0,0,NextBu,0.5436402,6,0,6,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,21.6947,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,LIP,0,26.38888889,1.0097,-0.011111111,-0.411111111,1,0,0,NextBu,0.797421059,7,0,7,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,23.8556,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,NASALTIP,0,3.055555556,0.9933,0.046296296,-0.371296296,1,0,0,NextBu,0.920732459,8,0,8,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
,,,,,26.1632,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,NASALTIP,0,13.61111111,0.9291,0.024074074,-0.384259259,1,0,0,NextBu,0.634362283,9,0,9,0,1,5c3ee593de04ad0001d91352,M,46,Greek,2022-07-28_17h28.20.765,FaceAttractiveness,2022.2.2,Win32,60.25548325,5c3ee593de04ad0001d91352,62e28ca91edcb69c59d3a195,62e2967fabf812d171fafb8a,,,,,,,,
